Radius_1, Radius_2, Radius_3, Velocity_1, Velocity_2, Velocity_3, Mass, ARadius_1, ARadius_2, ARadius_3, AVelocity_1, AVelocity_2, AVelocity_3, AMass, Time
    0.1776284438,     -1.022824835,  -0.003196689126,      1.011630143,     0.1121359383,  0.0004518717004,     0.9555776803,     -2.728889787,    -0.3177309721,     -1.650709488,        2.7602271,    -0.3281470579,      1.122953672,      1.036482384,             0.93
     0.187737555,     -1.021657917,  -0.003191663587,      1.010177507,     0.1212433318,  0.0005532601208,     0.9553922178,     -2.749861218,    -0.3360690541,     -1.660877424,      2.787620965,    -0.3248786321,      1.139511497,      1.037094553,             0.94
    0.1978317029,     -1.020400059,   -0.00318562347,       1.00863755,     0.1303236911,  0.0006547844304,     0.9552069813,     -2.770694063,    -0.3550972676,     -1.671176954,      2.815223862,    -0.3214233763,      1.156171659,      1.037712546,             0.95
    0.2079100166,     -1.019051536,  -0.003178567499,      1.007010767,     0.1393761067,  0.0007564283924,     0.9550219728,     -2.791375058,    -0.3748171282,     -1.681608267,       2.84303434,    -0.3177743812,      1.172935476,       1.03833639,             0.96
    0.2179716305,     -1.017612633,  -0.003170494557,      1.005297664,     0.1483996784,  0.0008581760276,     0.9548371946,     -2.811890901,    -0.3952298169,     -1.692171552,      2.871050813,    -0.3139247242,      1.189804265,      1.038966115,             0.97
    0.2280156838,     -1.016083642,  -0.003161403686,      1.003498756,     0.1573935158,  0.0009600116123,     0.9546526486,     -2.832228254,    -0.4163361796,     -1.702866996,      2.899271563,    -0.3098674725,      1.206779347,      1.039601749,             0.98
    0.2380413213,     -1.014464865,  -0.003151294083,      1.001614571,     0.1663567384,   0.001061919677,     0.9544683369,     -2.852373752,    -0.4381367268,     -1.713694785,      2.927694738,    -0.3055956866,      1.223862046,       1.04024332,             0.99
    0.2480476928,     -1.012756612,  -0.003140165101,     0.9996456447,     0.1752884755,   0.001163885006,     0.9542842616,      -2.87231402,    -0.4606316333,     -1.724655104,      2.956318354,    -0.3011024234,      1.241053685,      1.040890854,                1
    0.2580339536,     -1.010959203,  -0.003128016242,     0.9975925249,     0.1841878666,    0.00126589263,     0.9541004245,     -2.892035673,     -0.483820739,     -1.735748136,       2.98514029,    -0.2963807399,       1.25835559,      1.041544377,             1.01
    0.2679992645,     -1.009072965,  -0.003114847157,     0.9954557679,     0.1930540613,   0.001367927832,     0.9539168279,     -2.911525331,    -0.5077035493,     -1.746974064,      3.014158294,    -0.2914236962,       1.27576909,      1.042203917,             1.02
     0.277942792,     -1.007098235,  -0.003100657642,       0.99323594,     0.2018862198,   0.001469976141,     0.9537334734,     -2.930769627,    -0.5322792359,      -1.75833307,      3.043369979,    -0.2862243592,      1.293295515,      1.042869499,             1.03
