Radius_1, Radius_2, Radius_3, Velocity_1, Velocity_2, Velocity_3, Mass, Adjoint Variables...
   -0.3243136191,    -0.9853293212,    0.01948442303,     0.9237971625,    -0.3578975089,   0.005205470453,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             1.34
   -0.3150612729,    -0.9888641516,    0.01953560507,     0.9266575714,    -0.3490654796,   0.005030904953,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             1.35
   -0.3057807577,    -0.9923105705,    0.01958504049,     0.9294309486,    -0.3402153667,   0.004856148953,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             1.36
    -0.296472944,    -0.9956684016,    0.01963272747,     0.9321172898,    -0.3313480617,   0.004681219562,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             1.37
    -0.287138702,    -0.9989374774,    0.01967866436,     0.9347166006,    -0.3224644527,   0.004506133807,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             1.38
   -0.2777789021,     -1.002117639,    0.01972284968,     0.9372288954,    -0.3135654243,   0.004330908633,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             1.39
   -0.2683944141,     -1.005208737,    0.01976528213,     0.9396541985,    -0.3046518579,   0.004155560901,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,              1.4
    -0.258986108,     -1.008210631,    0.01980596055,     0.9419925431,    -0.2957246311,    0.00398010739,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             1.41
    -0.249554853,     -1.011123187,    0.01984488398,     0.9442439716,     -0.286784618,   0.003804564789,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             1.42
   -0.2401015181,     -1.013946283,     0.0198820516,     0.9464085353,    -0.2778326888,     0.0036289497,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             1.43
   -0.2306269716,     -1.016679804,    0.01991746278,     0.9484862946,      -0.26886971,   0.003453278635,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             1.44
